Supply and demand series;;;;;;;;;;;;;;;;;;;;;;
Argentina - Production;;;;;;;;;;;;;;;;;;;;;;
;Oil;Natural gas;Coal;Hydroenergy;Nuclear;Firewood;Sugarcane and products;"Other Primary
";Total Primaries;Electricity;LPG;Gasoline/alcohol;Kerosene/jet fuel;Diesel oil;Fuel oil;Coke;Charcoal;Gases;Other secondary;Non-energy;Total Secundaries;Total
;10¹² cal;10¹² cal;10¹² cal;10¹² cal;10¹² cal;10¹² cal;10¹² cal;10¹² cal;10¹² cal;10¹² cal;10¹² cal;10¹² cal;10¹² cal;10¹² cal;10¹² cal;10¹² cal;10¹² cal;10¹² cal;10¹² cal;10¹² cal;10¹² cal;10¹² cal
1974;;40071,80;1079,69;;;2559,90;5283,22;5939,99;54934,60;20159,91;10908,19;51563,23;12617,35;47893,48;36608,73;788,79;2950,95;3100,35;1569,60;14639,90;202800,49;257735,09
1975;;42445,57;938,09;;;2419,60;5149,29;5500,00;56452,56;21270,49;10860,50;45330,85;12749,68;48974,10;34951,01;700,39;890,49;3237,29;1200,00;14340,00;194504,81;250957,36
1976;;46919,20;218,30;;;2461,00;5137,64;4920,00;59656,13;22029,84;10854,50;45572,74;11736,06;50077,20;38692,45;639,19;838,49;3574,45;1580,00;15089,99;200684,91;260341,04
1977;;46803,00;472,00;;;2118,30;5534,10;5660,00;60587,40;23398,90;10401,44;48190,03;12691,46;54357,61;34543,52;639,19;552,49;3615,94;1450,00;16070,00;205910,58;266497,99
1978;;47632,99;230,10;;;1860,70;5098,60;5849,99;60672,38;23980,15;12019,73;51674,51;12643,82;55314,61;33154,37;1550,39;2372,46;4259,16;1700,00;15360,00;214029,19;274701,57
1979;;51152,14;330,40;;;1699,70;5181,80;5909,99;64274,02;27179,11;12413,47;56780,88;12949,49;58699,80;32895,82;679,99;1267,48;2801,33;2120,00;16630,01;224417,39;288691,41
1980;;54057,09;188,80;;;1950,40;6502,61;5550,01;68248,90;28280,24;12330,51;62829,43;13882,40;59464,53;25532,59;333,20;1410,48;2335,20;1840,00;17370,00;225608,56;293857,46
1981;;54588,29;179,12;;;1998,70;7130,00;7130,00;71026,11;27470,11;11665,51;63826,03;13081,82;59360,21;25384,39;47,60;838,49;2049,78;1599,99;15529,99;220853,92;291880,04
1982;;55990,96;707,99;;;2231,00;5081,69;6410,03;70421,68;28079,41;11407,50;61108,87;11443,61;60934,79;24337,91;557,60;506,99;2175,70;1560,00;16440,00;218552,39;288974,07
1983;;69644,26;171,10;;;2458,70;5480,01;6619,97;84374,04;29890,09;11660,83;60501,20;11794,28;61100,12;20151,93;360,40;896,99;1435,10;3800,00;16100,01;217690,94;302064,98
1984;;77446,14;849,59;;;3159,99;5770,69;6829,99;94056,41;31419,24;11877,86;58394,31;12209,79;61100,09;18762,78;598,39;487,49;1019,91;3490,00;13380,00;212739,86;306796,27
1985;;76458,46;100,30;;;3099,99;5250,70;6760,00;91669,45;31698,74;12096,52;52171,60;10620,54;59438,40;11826,30;428,40;519,99;1926,95;1890,00;13750,11;196367,55;288037,00
1986;;86169,31;100,30;;;2019,40;5069,63;7159,66;100518,31;32170,02;12118,68;53576,09;11392,83;61604,70;11440,38;659,59;221,00;469,08;1780,55;15679,36;201112,28;301630,59
1987;;90526,75;41,30;;;2030,90;5580,34;7999,28;106178,57;36569,78;12600,83;53781,50;11983,68;65980,79;15623,30;673,19;428,99;1576,90;2270,44;16528,70;218018,10;324196,67
1988;;91414,84;171,10;;;2040,10;5179,27;6289,51;105094,81;37387,17;12230,40;48170,68;11450,23;64171,19;7429,42;917,99;1202,48;1874,92;2230,19;14929,95;201994,63;307089,45
1989;;94145,49;100,30;;;1980,30;4130,00;5549,81;105905,90;34351,84;11924,63;49109,23;11380,10;60098,98;6538,28;1461,99;909,99;2363,59;1980,39;15110,37;195229,37;301135,27
1990;;95707,20;70,00;;;1925,18;4296,50;6550,00;108548,89;34688,53;12691,41;52910,50;11701,10;60495,28;4377,30;1359,99;924,58;2408,50;1598,75;14240,22;197396,15;305945,04
1991;;97010,45;175,00;;;1889,98;4283,50;8169,99;111528,91;36208,70;12381,44;52621,96;10571,96;67192,97;5772,58;1019,99;1145,38;2540,90;1800,00;11430,00;202685,87;314214,79
