Supply and demand series;;;;;;;;;;;;;;;;;;;;;;
Argentina - Production;;;;;;;;;;;;;;;;;;;;;;
;Oil;Natural gas;Coal;Hydroenergy;Nuclear;Firewood;Sugarcane and products;"Other Primary
";Total Primaries;Electricity;LPG;Gasoline/alcohol;Kerosene/jet fuel;Diesel oil;Fuel oil;Coke;Charcoal;Gases;Other secondary;Non-energy;Total Secundaries;Total
;10¹² cal;10¹² cal;10¹² cal;10¹² cal;10¹² cal;10¹² cal;10¹² cal;10¹² cal;10¹² cal;10¹² cal;10¹² cal;10¹² cal;10¹² cal;10¹² cal;10¹² cal;10¹² cal;10¹² cal;10¹² cal;10¹² cal;10¹² cal;10¹² cal;10¹² cal
1991;250202,11;198170,00;2040,62;17690,00;24320,27;8170,31;4420,00;8750,00;513763,32;45519,37;16311,69;69278,83;10965,06;85644,03;37635,74;2175,98;1835,36;9381,39;9759,99;11939,99;300447,44;513763,32
1992;282037,95;200849,95;1413,98;21080,00;21850,26;9845,08;4550,00;7720,00;549347,22;47610,63;18855,82;72312,29;11742,91;93378,79;32519,75;2719,98;2290,75;9514,99;11010,00;16239,99;318195,92;549347,22
1993;301131,53;213189,96;1174,59;25970,00;15530,31;10799,86;5360,00;7430,00;580586,26;52503,59;18142,29;75837,07;12094,19;93707,20;31261,28;204,00;2415,02;9805,50;10859,99;16469,99;323300,12;580586,26
1994;338587,77;224929,97;2432,19;29739,99;24030,44;11519,85;5860,00;6440,00;643540,22;55676,91;19119,00;72817,00;13783,70;87337,91;26519,20;156,40;2346,02;9202,25;9229,99;19830,00;316018,39;643540,22
1995;364872,34;242390,00;2135,61;29010,00;21860,15;12036,37;7139,99;6500,00;685944,46;57770,06;20200,99;66143,96;13917,52;85695,89;21904,79;258,40;2580,62;10214,21;9220,00;20920,00;308826,44;685944,46
1996;398179,93;266489,94;2171,17;24709,99;21940,28;12239,85;7090,00;6360,00;739181,15;59993,42;21183,55;72476,63;15188,84;97020,93;18571,61;110,02;2573,72;10129,15;9960,00;20230,02;327437,88;739181,15
1997;423131,00;270599,98;1755,91;30300,00;24119,97;9422,48;7840,00;6590,00;773759,34;62317,66;21803,50;80461,38;14486,26;106298,86;24649,72;183,60;2028,59;9393,85;10620,00;19280,00;351523,42;773759,34
1998;429808,35;279859,96;2028,79;28590,00;22369,59;9860,74;8679,99;6510,00;787707,41;63785,76;22856,25;79361,83;16736,15;108839,66;23473,31;1829,98;2069,96;10873,55;11450,00;23109,99;364386,44;787707,41
1999;405430,17;316460,01;2349,10;23300,00;20899,65;10079,87;8320,00;7240,00;794078,80;69440,43;24651,77;80243,04;18024,19;110611,31;24558,53;2196,38;2415,02;10783,09;11420,00;20730,00;375073,76;794078,80
2000;392135,69;386869,98;1516,63;31308,95;17750,00;6557,14;8840,00;5047,45;850025,85;76521,04;26604,37;56192,65;12496,65;95007,02;13607,14;11201,48;2034,67;13067,25;14471,88;20600,75;341804,92;850025,85
2001;387785,85;395857,56;1100,00;40218,54;0,00;6062,14;9100,00;4299,32;844423,41;77518,48;30790,27;55960,98;13102,92;104503,39;16893,34;11523,80;2109,33;15563,56;14798,85;21007,59;363772,52;844423,41
2002;381686,81;400553,10;570,00;38967,39;0,00;6872,14;6760,00;4109,79;839519,23;72747,40;32275,07;52208,26;13476,34;95906,60;17203,37;11803,30;2146,67;15515,29;15054,72;24594,47;352931,49;839519,23
2003;370673,12;439271,40;530,00;36741,32;0,00;8061,43;7490,00;3561,17;866328,44;79171,12;35509,21;50719,04;11806,55;101549,93;18689,45;12097,42;2221,33;17523,57;18875,07;27618,64;375781,33;866328,44
2004;348741,46;449697,53;285,48;33142,95;0,00;7535,06;7530,28;5063,90;851996,68;86224,30;38192,28;48697,14;12565,16;103238,83;22790,04;11536,62;2282,90;17925,94;19956,92;33367,04;396777,17;851996,68
2005;332994,09;442124,06;142,74;37201,20;0,00;7933,38;8152,98;4660,41;833208,86;90945,09;35566,07;48249,20;13023,01;100585,98;26837,61;11159,09;2423,46;17404,00;18980,73;29113,76;394288,02;833208,86
2006;331472,72;445289,84;494,84;41429,19;0,00;7774,12;9199,64;4136,30;839796,65;97544,26;35747,43;47207,53;12145,03;108335,74;33125,89;11220,32;2423,48;17279,47;21182,69;29558,37;415770,20;839796,65
2007;327744,12;447331,15;618,18;34366,32;;7660,34;9318,10;3897,83;830936,04;97631,53;33176,81;48417,00;12822,30;111052,44;41815,85;10283,17;2371,05;18136,61;25415,11;30534,30;431656,17;830936,04
2008;324098,15;443881,32;534,39;34249,65;;7812,85;9619,57;10592,45;830788,38;104838,51;33706,80;48939,77;12577,06;113512,13;46198,62;9887,27;2529,09;18752,05;23727,16;33864,02;448532,48;830788,38
2009;311785,09;426260,38;446,62;38201,23;;7673,08;9421,67;15007,38;808795,45;105200,36;33107,89;49800,21;13202,24;113367,22;31545,53;9607,19;2651,72;15455,48;20763,24;28946,21;423647,28;808795,45
2010;304373,19;415009,58;350,64;36804,65;;8157,58;9152,31;21906,08;795754,04;108353,16;37294,09;50405,92;14270,15;114369,28;35037,57;9506,76;2628,27;16851,29;20252,82;29761,40;438730,70;795754,04
2011;285831,28;401345,49;501,63;34637,52;;8717,54;9818,97;27006,88;767859,30;111355,64;32238,55;54771,26;13763,22;116336,68;32167,87;9469,62;2839,08;16793,06;13781,67;27349,41;430866,07;767859,30
2012;284520,52;388952,76;535,38;32263,49;;7858,47;10094,82;28126,61;752352,06;116988,91;29895,96;58773,64;14331,99;114446,76;38258,12;10021,12;2529,23;18445,74;12835,68;27778,20;444305,35;752352,06
2013;278863,11;367819,31;469,04;36190,63;;9005,94;9465,50;25626,16;727439,69;119919,61;28915,40;60354,66;14249,39;107290,19;41723,07;9131,06;3074,27;19433,37;8616,27;28037,86;440745,16;727439,69
2014;274842,77;365672,68;333,65;35977,08;;8693,23;10224,81;31698,34;727442,55;119153,98;28820,00;58641,57;13663,44;110370,90;45007,36;8745,64;3209,53;18531,15;10403,26;30111,55;446658,38;727442,55
2015;274956,82;377864,49;198,26;35650,02;;9128,71;9796,56;24690,99;732285,86;125062,53;28413,91;64688,46;13818,03;109002,69;45137,52;9088,30;3350,75;19966,54;9605,61;24096,05;452230,40;732285,86
2016;264397,86;395568,45;137,97;32827,42;;8343,23;10383,78;31922,00;743580,70;126585,82;28645,54;65009,17;13776,04;112931,59;38444,29;9561,68;3007,61;18672,56;8104,97;24265,88;449005,15;743580,70
2017;247661,19;392021,61;115,90;34931,05;;8333,79;12505,86;35214,16;730783,55;125231,86;28347,00;68689,47;15161,50;114481,94;29332,09;10050,30;2844,08;18861,72;7707,20;26060,77;446767,92;730783,55
2018;252808,75;413184,77;354,00;35353,24;;7854,71;13434,75;32065,57;755055,79;126225,52;29344,25;66424,23;15442,21;107169,54;18406,75;10279,09;2825,75;19936,87;4715,55;31325,97;432095,72;755055,79
2019;262693,31;433477,12;619,50;30307,40;;10163,20;13099,51;32039,59;782399,62;119995,72;30453,50;65102,88;15476,43;104832,39;20956,54;9942,61;2876,61;16944,17;6780,53;26621,68;419983,05;782399,62
2020;248893,52;396314,24;115,89;26337,37;;10033,16;11618,63;27712,36;721025,19;124392,79;26576,00;50762,17;5574,08;93084,78;25889,55;8496,33;2847,84;16153,23;12299,62;24782,33;390858,72;721025,19
2021;265213,00;398009,29;118,00;21915,26;;9949,83;13496,77;37560,74;746262,89;131710,64;29920,00;63642,23;6309,42;110915,36;19867,18;10100,84;2887,71;17556,12;11654,52;26195,23;430759,26;746262,89
;;;;;;;;;;;;;;;;;;;;;;
Argentina - Import;;;;;;;;;;;;;;;;;;;;;;
;Oil;Natural gas;Coal;Hydroenergy;Nuclear;Firewood;Sugarcane and products;"Other Primary
";Total Primaries;Electricity;LPG;Gasoline/alcohol;Kerosene/jet fuel;Diesel oil;Fuel oil;Coke;Charcoal;Gases;Other secondary;Non-energy;Total Secundaries;Total
;10¹² cal;10¹² cal;10¹² cal;10¹² cal;10¹² cal;10¹² cal;10¹² cal;10¹² cal;10¹² cal;10¹² cal;10¹² cal;10¹² cal;10¹² cal;10¹² cal;10¹² cal;10¹² cal;10¹² cal;10¹² cal;10¹² cal;10¹² cal;10¹² cal;10¹² cal
1970;14900,00;;6703,11;;;;;;21603,12;;4120,00;10,00;;5529,99;1550,00;68,00;;;;1260,00;12537,99;34141,11
1971;22479,68;;6271,12;;;;;;28750,79;;5374,32;;516,07;2131,50;1351,99;61,20;;;;1520,00;10955,09;39705,88
1972;15359,80;9179,66;3967,15;;;;;;28506,61;;3910,01;;;;518,62;81,60;;;;480,00;4990,23;33496,84
1973;30039,97;14508,18;6847,11;;;;;;51395,27;60,19;3363,05;943,38;349,34;930,90;3982,23;20,40;;;;10,01;9659,52;61054,78
1974;30350,94;14109,79;7970,30;;;;;;52431,03;79,97;4510,25;624,09;;1165,80;740,88;20,40;;;;30,00;7171,39;59602,41
1975;21999,86;14217,69;11325,45;;;;;;47543,00;99,75;4598,14;1019,58;498,87;4785,20;;142,80;;;;350,00;11494,33;59037,33
1976;31189,57;17263,74;7322,30;;;;;;55775,61;79,97;4092,32;37,49;;4349,99;898,31;163,20;;;;379,99;10001,28;65776,90
1977;30209,99;18882,22;9662,27;;;;;;58754,48;69,65;2563,66;166,91;;5133,00;;231,20;;;;210,00;8374,42;67128,91
1978;21920,01;20160,40;7149,51;;;;;;49229,91;60,19;4093,26;68,94;283,18;1557,30;;258,40;;;;260,00;6581,27;55811,18
1979;17779,99;16682,75;8323,09;;;;;;42785,84;30,10;4651,43;3149,45;2072,24;8430,06;;448,80;;;;120,00;18902,07;61687,91
1980;22380,00;18849,02;7653,50;;;;;;48882,52;1019,96;3392,97;2092,38;832,34;130,50;;448,80;;;;210,00;8126,94;57009,46
1981;12810,00;20077,40;6199,12;;;;;;39086,52;1246,14;2540,29;2670,50;973,92;165,10;;380,80;;;;609,99;8586,75;47673,27
1982;7280,29;20782,89;6422,32;;;;;;34485,49;2109,29;;501,93;432,71;;;360,40;;;;640,00;4044,32;38529,81
1983;;19986,10;4211,95;;;;;;24198,05;3050,42;;;756,91;;;231,20;;;;580,00;4618,53;28816,58
1984;;19903,10;4737,54;;;;;;24640,64;2869,82;;;1090,37;;;;;;;830,00;4790,19;29430,83
1985;;19728,81;6710,31;;;;;;26439,12;2299,64;;;524,01;;;;;;;360,00;3183,65;29622,77
1986;;19496,41;10166,27;;;;;;29662,68;2709,86;482,16;;;;;;;;;209,56;3401,58;33064,26
1987;;19023,32;9691,07;;;;;;28714,39;2539,58;899,64;1300,79;1963,99;6420,60;7575,50;61,20;;;;420,50;21181,81;49896,20
1988;;19936,30;10094,27;;;;;;30030,57;1789,66;523,32;;1599,83;4445,70;8630,39;;;;;860,44;17849,33;47879,90
1989;;19878,20;10972,66;;;;;;30850,86;1120,58;;;;1719,59;2556,04;;;;;359,44;5755,65;36606,51
1990;2449,67;18199,97;10535,45;;;;;;31185,08;2305,83;;272,93;;;;;;;;309,48;2888,24;34073,32
1991;2163,21;18080,04;7533,81;;;;;;27777,06;1616,11;;;443,29;2601,30;6027,92;;;;;460,00;11148,62;38925,68
1992;98,78;17650,02;8469,91;;;;;;26218,71;2965,02;836,35;1076,15;209,09;155,56;5508,12;1053,99;;;;400,01;12204,28;38422,99
1993;1372,99;17360,02;8257,53;;;;;;26990,55;1963,30;;1294,49;526,93;2255,61;9019,08;68,00;;;;640,00;15767,41;42757,96
1994;4326,44;18730,00;10926,95;;;;;;33983,39;1542,33;;2540,47;284,38;8624,90;4906,24;;;;;839,99;18738,30;52721,69
1995;6914,38;17030,02;9859,18;;;;;;33803,58;2014,46;;7922,93;669,11;13447,24;2279,85;;;;;960,00;27293,59;61097,18
1996;7418,15;17599,97;8957,52;;;;;;33975,64;3149,92;;3116,43;1823,33;8393,85;2835,96;;;;;909,99;20229,49;54205,13
1997;9235,65;14130,00;7521,94;;;;;;30887,59;4700,93;274,88;1926,14;1915,33;7121,16;1222,00;;;;1280,00;950,00;19390,45;50278,03
1998;12139,68;14539,97;8459,20;;;;;;35138,86;6934,78;596,55;1185,32;1672,78;10344,69;282,69;539,98;;;370,00;1369,99;23296,80;58435,66
1999;9502,34;3490,01;7937,21;;;;;;20929,57;5533,24;29,25;1302,29;1304,77;10111,36;2115,70;27,20;;;280,00;1740,00;22443,80;43373,37
2000;11984,68;0,00;5750,00;0,00;0,00;0,00;0,00;0,00;17734,68;6233,97;0,00;136,57;125,68;1223,85;10,20;35,34;0,00;0,00;65,04;1170,00;9000,66;26735,34
2001;14294,05;0,00;5720,00;0,00;20300,00;0,00;0,00;0,00;40314,05;6377,81;0,00;576,13;513,86;3877,52;138,84;0,00;0,00;0,00;242,98;768,86;12495,99;52810,03
2002;5423,77;825,51;5950,00;0,00;17160,00;0,00;0,00;0,00;29359,28;7546,19;0,00;32,31;67,06;3629,48;66,06;0,00;0,00;0,00;93,96;407,83;11842,88;41202,16
2003;2536,31;707,52;4990,00;0,00;22130,80;0,00;0,00;0,00;30364,64;6517,45;0,00;34,87;17,25;3695,16;3,45;0,00;0,00;0,00;530,84;368,16;11167,19;41531,82
2004;5253,75;15139,20;10222,85;0,00;23786,16;0,00;0,00;0,00;54401,95;6545,93;0,00;305,46;24,58;3379,83;7149,71;0,00;0,00;0,00;59,25;499,12;17963,88;72365,84
2005;2202,17;14417,10;10679,04;0,00;20893,35;0,00;0,00;0,00;48191,66;6894,39;0,00;106,13;125,76;6717,45;5761,38;0,00;0,00;0,00;0,00;630,08;20235,19;68426,85
2006;797,17;15145,01;9794,30;0,00;22186,81;0,00;0,00;0,00;47923,30;6378,54;0,00;249,72;187,54;4942,12;9530,45;0,00;0,00;0,00;408,87;964,41;22661,66;70584,96
2007;404,39;14124,94;12789,14;;21408,80;;;;48727,27;8976,12;;172,66;24,00;16179,14;9685,25;;;;1121,43;426,94;36585,54;85312,81
2008;43,34;11213,30;16592,04;;21867,56;;;;49716,24;7272,54;;388,51;125,76;18399,00;8038,04;;;;194,42;130,72;34548,99;84265,23
2009;;20541,67;8888,85;;22785,08;;;;52215,59;7395,68;;;187,54;16659,45;6946,67;;;;674,48;177,78;32041,60;84257,19
2010;;29795,34;12524,71;;22785,08;;;;65105,13;8857,26;;1053,51;359,68;26459,51;6527,40;;;;308,92;589,52;44155,79;109260,92
2011;;56730,50;15496,13;;19115,00;;;;91341,63;9398,82;;1074,43;867,32;37185,43;14294,92;;;;603,20;882,56;64306,68;155648,31
2012;2206,01;75372,29;12990,43;;18503,32;;;;109072,05;6980,17;;397,85;343,74;26557,97;11561,73;;;;534,10;699,73;47075,30;156147,35
2013;3749,04;94628,29;12049,88;;18503,32;;;;128930,53;7140,93;;2844,95;488,88;42789,65;6086,95;;;;88,97;830,50;60270,83;189201,36
2014;4877,30;103783,19;14635,75;;12845,28;;;;136141,52;8622,85;;3374,06;636,38;32348,19;5414,62;;;;180,57;724,20;51300,87;187442,39
2015;8371,47;95605,15;14316,17;;22020,48;;;;140313,28;7754,42;;112,66;929,13;33370,80;;;;;278,26;1428,38;43873,65;184186,93
2016;7904,49;91434,97;11536,91;;22239,75;;;;133116,13;8470,48;;1851,86;1272,26;36033,08;;;;;768,41;676,67;49072,76;182188,88
2017;11172,77;95179,75;10873,64;;17451,64;;;;134677,81;9055,38;;3122,48;933,41;30707,22;;;;;982,83;1523,78;46325,11;181002,92
2018;5177,65;81587,75;12007,67;;18498,36;;;;117271,44;8462,58;;4640,30;1670,77;27221,11;2314,65;;;;1835,88;1764,60;47909,89;165181,33
2019;;56979,50;5460,48;;22001,24;;;;84441,22;9413,57;;3913,12;2243,79;19776,42;;;;;1132,28;1137,29;37616,48;122057,70
2020;;60407,40;8705,74;;27784,74;;;;96897,87;6708,17;0,00;1213,23;229,29;13987,76;;;;;1189,63;396,73;23724,83;120622,70
2021;;68607,79;12354,89;;28225,52;;;;109188,21;5459,52;;4362,47;;33715,34;3422,29;;;;352,27;1355,30;48667,20;157855,41
;;;;;;;;;;;;;;;;;;;;;;
Argentina - Export;;;;;;;;;;;;;;;;;;;;;;
;Oil;Natural gas;Coal;Hydroenergy;Nuclear;Firewood;Sugarcane and products;"Other Primary
";Total Primaries;Electricity;LPG;Gasoline/alcohol;Kerosene/jet fuel;Diesel oil;Fuel oil;Coke;Charcoal;Gases;Other secondary;Non-energy;Total Secundaries;Total
;10¹² cal;10¹² cal;10¹² cal;10¹² cal;10¹² cal;10¹² cal;10¹² cal;10¹² cal;10¹² cal;10¹² cal;10¹² cal;10¹² cal;10¹² cal;10¹² cal;10¹² cal;10¹² cal;10¹² cal;10¹² cal;10¹² cal;10¹² cal;10¹² cal;10¹² cal
1970;320,00;;;;;;;;320,00;;;243,43;;1365,89;4084,11;;;;1280,00;140,00;7113,43;7433,43
1971;270,16;;;;;;;;270,16;;52,92;920,40;17,20;1522,50;4269,45;217,60;;;1340,00;180,00;8520,08;8790,24
1972;240,61;;;;;;;;240,61;;;478,95;;695,99;1565,10;149,60;;;1139,99;100,00;4129,64;4370,26
1973;260,31;;;;;;;;260,31;;;22,98;;635,10;1472,50;61,20;;;240,09;420,00;2851,87;3112,18
1974;710,58;;;;;;;;710,58;;23,37;243,10;;243,60;1148,37;61,20;;;149,88;120,00;1989,52;2700,11
1975;160,41;;;;;;;;160,41;;53,29;;;330,21;1120,59;27,20;;;1580,00;110,00;3221,28;3381,69
1976;;;;;;;;;;;76,67;532,17;;530,69;1898,51;108,80;;;1260,00;80,01;4486,84;4486,84
1977;;;;;;;;;;;112,20;;;1061,40;4167,45;442,00;;;2040,07;100,00;7923,11;7923,11
1978;;;;;;;;;;;;;;1052,70;5815,91;40,80;;;3170,01;219,99;10299,41;10299,41
1979;;;;;;;;;;30,10;;;;1200,50;5843,63;210,80;;;1980,00;100,00;9365,03;9365,03
1980;;;;;;;;;;;;;;3471,37;14336,03;27,20;;;2410,00;160,00;20404,59;20404,59
1981;;;;;;;;;;;35,53;99,18;25,14;8951,95;23087,67;20,40;;;3030,00;160,00;35409,87;35409,87
1982;;;;;;;;;;;282,24;670,05;25,14;6255,30;20420,50;27,20;;;1910,00;480,00;30070,43;30070,43
1983;;;200,60;;;;;;200,60;;264,59;129,41;;3497,40;17206,94;;;;4850,00;1450,00;27398,35;27598,95
1984;;;;;;;;;;;582,48;159,65;;3862,80;15539,95;;;;1010,00;1660,00;22814,89;22814,89
1985;4619,48;;;;;;;;4619,48;;187,93;3902,95;291,12;9448,20;24245,29;992,79;;;2030,00;1510,00;42608,28;47227,76
1986;1010,29;;;;;;;;1010,29;;217,56;783,52;191,41;4367,40;9439,26;1121,99;;;660,59;1010,32;17792,05;18802,34
1987;1020,14;;;;;;;;1020,14;;;311,89;108,19;3767,10;6899,45;652,79;;;470,46;1379,47;13589,35;14609,49
1988;4100,26;;;;;;;;4100,26;10,32;511,56;5110,00;19,85;5011,21;7809,90;1019,99;;;589,81;1379,47;21462,11;25562,38
1989;6100,00;;;;;;;;6100,00;6,88;1511,16;9910,38;;10860,43;12872,78;1468,79;;;2330,12;2320,40;41280,94;47380,94
1990;8168,86;;225,40;;;;;;8394,26;27,69;1035,20;11744,02;;13265,75;14144,18;795,59;;;2109,46;2319,01;45440,90;53835,16
1991;12574,31;;106,75;;;;;;12681,06;9,29;2169,82;17717,41;158,91;17612,77;6246,78;931,59;;;2100,00;640,00;47586,58;60267,64
1992;26798,20;;49,00;;;;;;26847,20;23,73;2731,29;14988,05;209,09;17465,85;7733,25;863,59;;;3770,00;700,01;48484,87;75332,06
1993;43995,27;;;;;;;;43995,27;15,74;5257,87;12188,52;292,73;17189,31;7204,33;639,19;;;3250,01;3900,00;49937,69;93932,96
1994;103389,88;;284,76;;;;;;103674,63;20,04;5468,43;14620,43;3071,55;9679,25;6447,41;;;;4010,01;5599,99;48917,10;152591,73
1995;141517,79;;261,03;;;;;;141778,82;188,86;5813,49;12890,36;5649,56;6447,06;8544,87;150,01;;;4300,00;6990,00;50974,21;192753,02
1996;164868,68;;;;;;;;164868,68;258,26;6474,38;17714,23;7235,84;9267,99;7198,23;;;;2590,00;2909,99;53648,92;218517,60
1997;168948,17;6140,00;;;;;;;175088,17;238,39;6948,11;21086,21;8820,21;12833,64;8006,83;;;;2900,00;3800,00;64633,40;239721,57
1998;167713,46;17820,00;23,73;;;;;;185557,19;54,61;7959,91;24876,11;9482,13;13905,28;4687,38;1200,00;;;1950,00;4200,00;68315,41;253872,60
1999;136480,16;28099,98;;;;;;;164580,14;928,80;8971,72;31067,85;9726,09;13438,60;8280,41;1869,98;;;1390,01;2590,00;78263,46;242843,60
2000;143721,75;38827,79;0,00;0,00;0,00;0,00;0,00;0,00;182549,54;5179,08;1473,19;19695,10;130,00;10890,00;2710,00;-2290,17;0,00;0,00;12029,85;1980,00;51797,05;234346,59
2001;148501,98;49719,80;0,00;0,00;0,00;0,00;0,00;0,00;198221,77;4868,23;7193,14;21770,27;770,00;15280,00;7030,00;343,75;0,00;0,00;13655,01;1217,29;72127,68;270349,45
2002;137601,54;49714,25;0,00;0,00;0,00;0,00;0,00;0,00;187315,79;2455,94;14343,82;25729,30;2430,00;13100,00;8490,00;811,58;0,00;0,00;14397,03;952,49;82710,17;270025,96
2003;118687,50;57099,15;0,00;0,00;0,00;0,00;0,00;0,00;175786,65;2186,64;17123,14;26697,02;440,00;13630,00;8340,00;1140,92;0,00;0,00;15811,13;1496,59;86865,44;262652,09
2004;91109,58;61826,78;196,56;0,00;0,00;0,00;0,00;0,00;153132,92;3563,16;13600,29;24305,12;310,00;9270,00;9570,00;1069,74;0,00;0,00;16386,11;1396,47;79470,89;232603,81
2005;77310,67;57153,44;0,00;0,00;0,00;0,00;0,00;0,00;134464,10;3560,02;11950,62;25778,26;1020,00;2470,00;10130,00;0,00;0,00;0,00;14625,51;1052,31;70586,72;205050,82
2006;45207,71;55393,28;0,00;0,00;0,00;0,00;0,00;0,00;100600,99;4351,12;19092,00;17904,87;630,00;1040,00;14560,00;198,82;0,00;0,00;18136,88;1185,32;77099,02;177700,01
2007;29380,44;21713,19;330,47;;;;;;51424,10;2300,70;16348,38;12394,87;748,33;401,26;16243,82;;;;21978,17;1397,48;71813,00;123237,10
2008;28431,53;8105,36;398,82;;;;;;36935,71;2557,97;17189,36;2590,05;;6115,10;16653,71;;;;21248,58;445,16;66799,92;103735,63
2009;47049,48;7594,35;371,91;;;;;;55015,74;2102,27;16931,66;2506,06;;10166,32;7544,69;;;;18445,69;452,43;58149,11;113164,85
2010;47274,90;3914,96;262,66;;;;;;51452,52;1462,50;14339,17;3230,29;;11946,63;5822,91;;;;14500,05;1488,60;52790,15;104242,67
2011;30740,70;1690,28;320,36;;;;;;32751,34;1085,58;14169,28;2794,73;4,36;14679,23;332,37;;;;12895,99;1262,50;47224,04;79975,38
2012;31022,28;898,63;614,17;;;;;;32535,08;434,79;10105,63;2720,76;;14375,66;486,82;;;;10933,56;1440,08;40497,29;73032,37
2013;19430,84;676,71;275,17;;;;;;20382,72;212,63;8931,62;2570,31;;11332,17;2398,04;;;;7068,75;2574,72;35088,24;55470,96
2014;18979,66;527,21;168,61;;;;;;19675,48;142,70;9614,00;2427,12;;15332,25;1868,22;;;;7163,75;1808,87;38356,90;58032,38
2015;18778,61;734,44;84,59;;;;;;19597,63;47,66;9400,97;2541,64;;7031,09;234,35;;;;6661,87;858,62;26776,20;46373,83
2016;23321,22;504,18;66,48;;;;;;23891,87;282,94;9673,75;2133,04;18,13;14524,30;247,94;;;;5022,28;1349,22;33251,60;57143,47
2017;14813,13;647,00;;;;;;;15460,13;59,54;9798,80;1798,16;50,02;14727,92;3621,11;;;;4878,74;947,46;35881,75;51341,88
2018;30279,47;3731,17;13,76;;;;;;34024,39;241,06;12464,10;2035,05;24,50;12803,98;5724,98;;;;5982,64;863,57;40139,88;74164,28
2019;33889,15;2307,40;361,89;;;;;;36558,44;224,62;13464,00;2802,80;26,39;9327,34;8453,95;;;;5946,84;894,51;41140,45;77698,89
2020;40073,16;1535,50;;;;;;;41608,66;2655,85;11330,00;3969,83;230,94;5603,62;7022,98;;;;7445,78;975,24;39234,25;80842,92
2021;30769,14;7270,80;;;;;;;38039,94;3310,86;10252,00;3113,60;134,56;11589,21;923,91;;;;8473,05;914,33;38711,52;76751,46
;;;;;;;;;;;;;;;;;;;;;;
Argentina - Stock change;;;;;;;;;;;;;;;;;;;;;;
;Oil;Natural gas;Coal;Hydroenergy;Nuclear;Firewood;Sugarcane and products;"Other Primary
";Total Primaries;Electricity;LPG;Gasoline/alcohol;Kerosene/jet fuel;Diesel oil;Fuel oil;Coke;Charcoal;Gases;Other secondary;Non-energy;Total Secundaries;Total
;10¹² cal;10¹² cal;10¹² cal;10¹² cal;10¹² cal;10¹² cal;10¹² cal;10¹² cal;10¹² cal;10¹² cal;10¹² cal;10¹² cal;10¹² cal;10¹² cal;10¹² cal;10¹² cal;10¹² cal;10¹² cal;10¹² cal;10¹² cal;10¹² cal;10¹² cal
1970;2170,00;;-312,70;;;;;;1857,30;;23,52;722,67;-217,02;635,10;-805,71;47,60;;;-140,00;-80,01;186,16;2043,47
1971;-1840,47;;-660,79;;;;;;-2501,27;;-176,40;-411,22;-141,59;-1661,69;648,26;;;;350,00;70,00;-1322,64;-3823,91
1972;1499,96;;-407,10;;;;;;1092,86;;241,22;821,23;166,73;756,90;175,96;217,60;;;-200,00;-230,00;1949,65;3042,51
1973;-289,86;;-1061,99;;;;;;-1351,85;;-341,26;-1848,07;-557,10;-452,40;-1805,89;-170,00;;;-899,99;149,99;-5924,70;-7276,56
1974;-3530,39;;100,30;;;;;;-3430,09;;-370,24;1110,29;-149,53;348,00;1453,98;210,80;;;9,71;170,01;2783,02;-647,07
1975;1840,47;;-861,39;;;;;;979,08;;-211,30;-411,22;-17,20;113,33;-666,79;-931,59;;;700,01;210,00;-1214,76;-235,68
1976;379,91;;648,99;;;;;;1028,91;;-305,73;980,88;-182,61;-313,21;-333,39;-142,80;;;-310,01;-100,00;-706,88;322,03
1977;-1969,93;;-1669,69;;;;;;-3639,61;;758,25;-1133,27;83,37;-147,89;1194,66;-727,59;;;300,00;-219,99;107,53;-3532,08
1978;1300,15;;1598,89;;;;;;2899,04;;-252,44;441,46;308,32;783,00;-72,61;1312,39;;;350,00;200,00;3070,11;5969,15
1979;730,00;;-961,69;;;;;;-231,69;;53,29;-882,91;-549,16;-1949,06;-722,47;516,80;;;200,00;-59,99;-3393,50;-3625,20
1980;-4320,01;;1380,59;;;;;;-2939,42;;329,11;-562,40;-307,91;-1305,00;740,88;-251,60;;;-1700,00;-80,01;-3136,93;-6076,35
1981;1010,00;;149,98;;;;;;1159,97;;-317,89;730,52;291,12;1348,81;1213,19;251,60;;;-830,00;30,00;2717,35;3877,32
1982;2040,28;;1120,99;;;;;;3161,27;;370,24;540,63;399,63;548,10;-296,35;;;;-1510,00;50,00;102,26;3263,53
1983;-1899,57;;761,09;;;;;;-1138,48;;-370,24;-570,87;58,22;295,80;648,27;40,80;;;3520,00;;3621,99;2483,51
1984;-1619,56;;-949,89;;;;;;-2569,45;;658,21;-68,94;-549,16;-287,10;-268,57;-238,00;;;-400,01;140,00;-1013,55;-3583,01
1985;3730,20;;542,80;;;;;;4272,99;;23,37;950,64;-890,56;400,19;1741,06;231,20;;;540,01;-149,99;2845,93;7118,92
1986;-789,38;;-590,00;;;;;;-1379,37;;-305,76;-220,61;757,31;695,99;-579,43;-68,00;;;199,84;19,43;498,78;-880,59
1987;-499,52;;578,20;;;;;;78,68;;-152,88;-129,32;-216,37;-896,10;-1574,37;-102,00;;;-209,56;19,43;-3261,16;-3182,48
1988;-3930,00;;-501,50;;;;;;-4431,50;;-299,88;-239,47;-410,21;-652,49;1889,30;61,20;;;-320,58;340,01;367,87;-4063,63
